gta8wifi:/ # cat /proc/partitions
major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0      37569 loop0
   7        8        884 loop1
   7       16       8972 loop2
   7       24     132585 loop3
   7       32       1952 loop4
   7       40       2376 loop5
   7       48       6096 loop6
   7       56       2020 loop7
   7       64      48046 loop8
   7       72       9932 loop9
   7       80        880 loop10
   7       88        421 loop11
   7       96       8972 loop12
   7      104     132585 loop13
   7      112        348 loop14
   7      120        884 loop15
   7      128       4980 loop16
   7      136       6024 loop17
   7      144      16880 loop18
   7      152      51456 loop19
   7      160        836 loop20
   7      168      22667 loop21
   7      176       6860 loop22
   7      184      19504 loop23
   7      192       3556 loop24
   7      200      18304 loop25
   7      208       7588 loop26
   7      216      14408 loop27
   7      224      37569 loop28
   7      232        318 loop29
   7      240        308 loop30
   7      248        318 loop31
   7      256        348 loop32
   7      264        489 loop33
   7      272       8688 loop34
   7      280       4080 loop35
   7      288       3201 loop36
   7      296       8777 loop37
   7      304     524288 loop38
 254        0    3145728 zram0
 259        0         64 pmem0
 179        0   30535680 mmcblk0
 179        1      10240 mmcblk0p1
 179        2       1024 mmcblk0p2
 179        3       2048 mmcblk0p3
 179        4       2048 mmcblk0p4
 179        5       1024 mmcblk0p5
 179        6       2048 mmcblk0p6
 179        7       2048 mmcblk0p7
 259        1       1024 mmcblk0p8
 259        2      10240 mmcblk0p9
 259        3      16384 mmcblk0p10
 259        4      16384 mmcblk0p11
 259        5       8192 mmcblk0p12
 259        6       4096 mmcblk0p13
 259        7       1024 mmcblk0p14
 259        8       3072 mmcblk0p15
 259        9       6144 mmcblk0p16
 259       10       6144 mmcblk0p17
 259       11       1024 mmcblk0p18
 259       12       1024 mmcblk0p19
 259       13       2048 mmcblk0p20
 259       14       1024 mmcblk0p21
 259       15       1024 mmcblk0p22
 259       16       4096 mmcblk0p23
 259       17       5120 mmcblk0p24
 259       18       1024 mmcblk0p25
 259       19       1024 mmcblk0p26
 259       20       1024 mmcblk0p27
 259       21       1024 mmcblk0p28
 259       22       1024 mmcblk0p29
 259       23      16384 mmcblk0p30
 259       24       6144 mmcblk0p31
 259       25       4096 mmcblk0p32
 259       26      17408 mmcblk0p33
 259       27      10240 mmcblk0p34
 259       28       1024 mmcblk0p35
 259       29      10240 mmcblk0p36
 259       30      65536 mmcblk0p37
 259       31      65536 mmcblk0p38
 259       32       8192 mmcblk0p39
 259       33      76800 mmcblk0p40
 259       34      24576 mmcblk0p41
 259       35      16384 mmcblk0p42
 259       36       1024 mmcblk0p43
 259       37       1024 mmcblk0p44
 259       38       6144 mmcblk0p45
 259       39    6582272 mmcblk0p46
 259       40     425984 mmcblk0p47
 259       41      20480 mmcblk0p48
 259       42     204800 mmcblk0p49
 259       43      24576 mmcblk0p50
 259       44      10240 mmcblk0p51
 259       45       6144 mmcblk0p52
 259       46   22815724 mmcblk0p53
 179       16       4096 mmcblk0boot1
 179        8       4096 mmcblk0boot0
 179       24   30228480 mmcblk1
 179       25   30227439 mmcblk1p1
 253        0    3755296 dm-0
 253        1     325616 dm-1
 253        2     782364 dm-2
 253        3    1224232 dm-3
 253        4    3695960 dm-4
 253        5     769932 dm-5
 253        6    1204832 dm-6
 253        7     419184 dm-7
 253        8      20076 dm-8
 253       21       8452 dm-21
 253       27       2912 dm-27
 253       43   22815724 dm-43
 253       44      75508 dm-44
